GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
1400000US55079001400,55079001400,"Census Tract 14, Milwaukee County, Wisconsin",2595,100.0,2475,95.4,391,15.1,1463,56.4,8,0.3,1,0.0,0,0.0,0,0.0,7,0.3,593,22.9,0,0.0,20,0.8,120,4.6,18,0.7,96,3.7,0,0.0,6,0.2,2595,100.0,83,3.2,13,0.5,46,1.8,3,0.1,21,0.8,2512,96.8,2595,100.0,2475,95.4,59,2.3,2416,93.1,120,4.6,24,0.9,96,3.7
1400000US55079001500,55079001500,"Census Tract 15, Milwaukee County, Wisconsin",3173,100.0,3107,97.9,489,15.4,1940,61.1,8,0.3,4,0.1,0,0.0,0,0.0,4,0.1,631,19.9,0,0.0,39,1.2,66,2.1,12,0.4,50,1.6,3,0.1,1,0.0,3173,100.0,109,3.4,52,1.6,43,1.4,0,0.0,14,0.4,3064,96.6,3173,100.0,3107,97.9,93,2.9,3014,95.0,66,2.1,16,0.5,50,1.6
1400000US55079001600,55079001600,"Census Tract 16, Milwaukee County, Wisconsin",2990,100.0,2876,96.2,526,17.6,2137,71.5,14,0.5,7,0.2,0,0.0,0,0.0,7,0.2,158,5.3,0,0.0,41,1.4,114,3.8,8,0.3,96,3.2,1,0.0,9,0.3,2990,100.0,124,4.1,69,2.3,40,1.3,0,0.0,15,0.5,2866,95.9,2990,100.0,2876,96.2,109,3.6,2767,92.5,114,3.8,15,0.5,99,3.3
1400000US55079001700,55079001700,"Census Tract 17, Milwaukee County, Wisconsin",4458,100.0,4295,96.3,1087,24.4,2893,64.9,18,0.4,11,0.2,0,0.0,0,0.0,7,0.2,252,5.7,2,0.0,43,1.0,163,3.7,10,0.2,140,3.1,0,0.0,13,0.3,4458,100.0,125,2.8,62,1.4,48,1.1,2,0.0,13,0.3,4333,97.2,4458,100.0,4295,96.3,106,2.4,4189,94.0,163,3.7,19,0.4,144,3.2
1400000US55079001800,55079001800,"Census Tract 18, Milwaukee County, Wisconsin",3153,100.0,3077,97.6,471,14.9,2492,79.0,10,0.3,2,0.1,0,0.0,0,0.0,8,0.3,81,2.6,0,0.0,23,0.7,76,2.4,12,0.4,52,1.6,8,0.3,4,0.1,3153,100.0,103,3.3,53,1.7,31,1.0,8,0.3,11,0.3,3050,96.7,3153,100.0,3077,97.6,85,2.7,2992,94.9,76,2.4,18,0.6,58,1.8
1400000US55079001900,55079001900,"Census Tract 19, Milwaukee County, Wisconsin",3518,100.0,3423,97.3,530,15.1,2631,74.8,14,0.4,10,0.3,0,0.0,0,0.0,4,0.1,197,5.6,0,0.0,51,1.4,95,2.7,9,0.3,77,2.2,0,0.0,9,0.3,3518,100.0,121,3.4,57,1.6,51,1.4,3,0.1,10,0.3,3397,96.6,3518,100.0,3423,97.3,111,3.2,3312,94.1,95,2.7,10,0.3,85,2.4
1400000US55079002000,55079002000,"Census Tract 20, Milwaukee County, Wisconsin",2470,100.0,2402,97.2,325,13.2,2038,82.5,11,0.4,7,0.3,0,0.0,0,0.0,4,0.2,1,0.0,1,0.0,26,1.1,68,2.8,6,0.2,57,2.3,0,0.0,5,0.2,2470,100.0,91,3.7,58,2.3,22,0.9,0,0.0,11,0.4,2379,96.3,2470,100.0,2402,97.2,79,3.2,2323,94.0,68,2.8,12,0.5,56,2.3
1400000US55079002100,55079002100,"Census Tract 21, Milwaukee County, Wisconsin",2474,100.0,2411,97.5,222,9.0,2144,86.7,10,0.4,3,0.1,0,0.0,0,0.0,7,0.3,7,0.3,0,0.0,28,1.1,63,2.5,15,0.6,45,1.8,1,0.0,2,0.1,2474,100.0,108,4.4,39,1.6,42,1.7,19,0.8,8,0.3,2366,95.6,2474,100.0,2411,97.5,91,3.7,2320,93.8,63,2.5,17,0.7,46,1.9
1400000US55079002200,55079002200,"Census Tract 22, Milwaukee County, Wisconsin",1790,100.0,1710,95.5,643,35.9,1014,56.6,7,0.4,6,0.3,0,0.0,0,0.0,1,0.1,19,1.1,0,0.0,27,1.5,80,4.5,11,0.6,64,3.6,1,0.1,4,0.2,1790,100.0,93,5.2,40,2.2,34,1.9,0,0.0,19,1.1,1697,94.8,1790,100.0,1710,95.5,75,4.2,1635,91.3,80,4.5,18,1.0,62,3.5
1400000US55079002300,55079002300,"Census Tract 23, Milwaukee County, Wisconsin",4406,100.0,4284,97.2,187,4.2,4050,91.9,8,0.2,3,0.1,0,0.0,0,0.0,5,0.1,3,0.1,1,0.0,35,0.8,122,2.8,9,0.2,96,2.2,3,0.1,14,0.3,4406,100.0,128,2.9,38,0.9,66,1.5,2,0.0,22,0.5,4278,97.1,4406,100.0,4284,97.2,106,2.4,4178,94.8,122,2.8,22,0.5,100,2.3
