Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
152660155;09/23/2015;06:24 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.01413484948038, -87.93110372491338];1515 W LAPHAM BL
152650096;09/22/2015;02:00 PM;2.0;THEFT FROM BUILDING;;;;[43.0142714121416, -87.93587149068051];1580-A S MUSKEGO AV
152640072;09/21/2015;11:12 AM;2.0;THEFT FROM BUILDING;;;;[43.02299636081136, -87.91267955539827];801 S 2ND ST
152640218;09/21/2015;10:20 PM;2.0;THEFT FROM BUILDING;;;;[43.01287807660568, -87.9168091031505];1669 S 5TH ST
152630117;09/20/2015;04:05 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.006542140695856, -87.92308268441751];900 W BECHER ST
152620026;09/19/2015;03:33 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00653367428991, -87.91879160023815];600 W BECHER ST
152620054;09/19/2015;07:20 AM;1.0;THEFT FROM MOTOR VEHICLE;;;;[43.027349529863066, -87.91361180682671];234 W FLORIDA ST
152610181;09/18/2015;11:05 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.023825000000016, -87.91690009925536];715 S 5TH ST
152550007;09/17/2015;05:18 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.0122684884588, -87.92985035789717];1401 W MITCHELL ST
152600070;09/17/2015;12:04 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.00619717451563, -87.9257934839374];2113 S 11TH ST
152590087;09/16/2015;03:14 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.02413665175822, -87.9153536517582];700 S 4TH ST
152590108;09/16/2015;05:24 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00798625728547, -87.92571904097154];2009 S 11TH ST
152590110;09/16/2015;05:31 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.01927966472388, -87.92399759536022];1139 S 10TH ST
152590122;09/16/2015;06:10 PM;2.0;THEFT FROM BUILDING;;;;[43.00277686387812, -87.9212385];801 W LINCOLN AV
152580158;09/15/2015;07:02 PM;2.0;THEFT FROM BUILDING;;;;[43.01413484948038, -87.93110372491338];1515 W LAPHAM BL
152570065;09/14/2015;10:21 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.02090100582839, -87.91679590795799];1000 S 5TH ST
152570099;09/14/2015;01:15 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.012847915659684, -87.92685080710724];1670 S 12TH ST
152570165;09/14/2015;05:39 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.017704497085816, -87.9380334190665];1314 S 20TH ST
152560063;09/13/2015;10:49 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.002916500432704, -87.92708332944774];1136 W LINCOLN AV
152540119;09/11/2015;03:00 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00904539607009, -87.93584735134763];1962 S CONGO AV
152530032;09/10/2015;08:17 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02014646047076, -87.93165191909516];1536 W WASHINGTON ST
152530110;09/10/2015;05:08 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.01817299999999, -87.93305343349321];1238 S CESAR E CHAVEZ DR
152520111;09/09/2015;03:35 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.01364177823307, -87.91117395646003];1635 S 1ST ST
152520147;09/09/2015;10:30 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00068841883537, -87.93273321637123];1562 W WINDLAKE AV
152510034;09/08/2015;08:17 AM;2.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[42.997832077990665, -87.92487347013694];2562 S 10TH ST
152510071;09/08/2015;11:49 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.01291624562873, -87.92121393349322];1656 S 8TH ST
152510153;09/08/2015;05:50 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.00581527699234, -87.93442805539827];2131 S 17TH ST
152500027;09/07/2015;02:40 AM;2.0;THEFT FROM BUILDING;;;;[43.0226403424895, -87.92534757372015];825 S 11TH ST #LWR
152500089;09/07/2015;12:23 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.99928981292549, -87.9313273801115];1500 W ARTHUR AV
152500181;09/07/2015;10:25 PM;2.0;THEFT FROM BUILDING;;;;[43.01227448124546, -87.9127605];201 W MITCHELL ST
152480109;09/05/2015;03:11 PM;2.0;THEFT FROM BUILDING;;;;[43.01703747879261, -87.93586400291419];1804 W GREENFIELD AV
152470020;09/04/2015;02:25 AM;1.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02939150000002, -87.9132645];400 W FRESHWATER WA
152470047;09/04/2015;09:12 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.01413484948038, -87.93110372491338];1515 W LAPHAM BL
152460128;09/03/2015;06:42 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02498529829975, -87.92677374930321];633 S 12TH ST
152470009;09/03/2015;09:05 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00577907799067, -87.92000447287825];2130 S 7TH ST
152450079;09/02/2015;12:49 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02077400000002, -87.93308960646873];1023 S CESAR E CHAVEZ DR
152720088;09/29/2015;02:30 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00084845045876, -87.93456755539827];2415 S 17TH ST
152710027;09/28/2015;08:54 AM;6.0;THEFT FROM BUILDING;;;;[42.98562657951987, -87.93384059608044];3237 S 16TH ST #CIC-2
152710044;09/28/2015;11:01 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.928111878356134, -87.93040502480846];6401 S 13TH ST
152710065;09/28/2015;12:22 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.960384000000005, -87.91112906376547];4601 S 1ST ST
152710109;09/28/2015;05:37 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.93750952368889, -87.90949644737262];5890 S HOWELL AV
152700046;09/27/2015;10:14 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98006719900167, -87.93745054097155];3545 S 19TH ST
152700068;09/27/2015;12:38 PM;6.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[42.988497958293024, -87.93857776026523];2000 W OKLAHOMA AV
152690057;09/26/2015;09:51 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.97704549667428, -87.94817339603092];3716 S 27TH ST
152700174;09/24/2015;08:26 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00610324562871, -87.9367149190665];2118 S 19TH ST
152660066;09/23/2015;11:25 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.96128569810369, -87.93884123398891];4572 S 20TH ST
152660127;09/23/2015;05:25 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.98562657951987, -87.93384059608044];3237 S 16TH ST
152650067;09/22/2015;09:31 AM;6.0;THEFT FROM BUILDING;;;;[42.964587009175276, -87.94845598340983];4400 S 27TH ST #108
152650089;09/22/2015;11:09 AM;6.0;THEFT FROM BUILDING;;;;[42.934837594241905, -87.94909571808766];6044 S 27TH ST #7
152650165;09/22/2015;06:22 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[42.994385748542896, -87.93837295455639];2740 S 20TH ST
152640055;09/21/2015;10:19 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98118546047076, -87.93833366472387];1930 W MORGAN AV
152640115;09/21/2015;11:53 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.92639122009348, -87.94022245181507];6526 S 20TH ST
152640115;09/21/2015;11:53 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.92639122009348, -87.94022245181507];6526 S 20TH ST
152610058;09/18/2015;11:55 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.94186166472389, -87.92944449841346];5652 S 13TH ST
152610131;09/18/2015;06:15 PM;;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.957313805441736, -87.90981854053793];4747 S HOWELL AV
152610151;09/18/2015;07:28 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97704549667428, -87.94817339603092];3716 S 27TH ST
152600026;09/17/2015;04:56 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.9230454237697, -87.93055745296705];6719 S 13TH ST
152610003;09/17/2015;10:28 PM;6.0;THEFT FROM BUILDING;;;;[42.928111878356134, -87.93040502480846];6401 S 13TH ST
152610006;09/17/2015;05:12 PM;6.0;THEFT FROM BUILDING;;;;[42.95910947561956, -87.918471];545 W LAYTON AV
152590102;09/16/2015;04:43 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.99896699999999, -87.93832442627985];2512 S 20TH ST
152560066;09/13/2015;11:09 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97953719455828, -87.93871345902845];3574 S 20TH ST
152550066;09/12/2015;12:05 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00586113627446, -87.9367239190665];2130 S 19TH ST
152540069;09/11/2015;10:50 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.9547895323159, -87.94428316763806];2307 W HALSEY AV
152540077;09/11/2015;10:37 AM;6.0;THEFT FROM BUILDING;;;;[42.98011255536963, -87.91436491185313];3538 S 3RD ST
152540104;09/11/2015;01:49 PM;6.0;THEFT FROM BUILDING;;;;[42.93024050432782, -87.9127197485429];186 W COLLEGE AV
152540105;09/11/2015;01:57 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.95355303136361, -87.9473185010096];5001 S 26TH ST
152540109;09/11/2015;02:21 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.93358250291419, -87.93675598066852];6108 S 18TH ST
152530028;09/10/2015;06:17 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.95497618373823, -87.91320760413144];4921 S 2ND ST
152520153;09/09/2015;07:31 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.95926146047075, -87.898032];900 E LAYTON AV
152520173;09/09/2015;09:46 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00294553058513, -87.93605113780367];1817 W LINCOLN AV
152510184;09/08/2015;07:15 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.92515467052361, -87.9321752776552];1501 W ZELLMAN CT
152410018;09/07/2015;12:55 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.950825342239725, -87.93405509738632];1651 W EDGERTON AV #T
152480124;09/05/2015;04:29 PM;6.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[42.96051841326678, -87.9169749606159];4620 S 5TH ST
152470087;09/04/2015;03:43 PM;6.0;THEFT FROM BUILDING;;;;[42.9636867485429, -87.90463247013695];4436 S GRIFFIN AV
152470121;09/04/2015;07:04 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.003447766673894, -87.93543892168394];2272 S 18TH ST
152460102;09/03/2015;02:54 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97393048600597, -87.93848208090483];1930 W HOWARD AV
152450030;09/02/2015;04:55 AM;6.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[42.93304258673322, -87.92963155208005];6147 S 13TH ST
152720031;09/29/2015;08:45 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98824751009891, -87.92844202553522];1227 W OKLAHOMA AV
152720082;09/29/2015;02:04 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.98241658673322, -87.92648951543633];3417 S 11TH ST
