Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
062990231;10/26/2006;11:03 PM;7.0;MOTOR VEHICLE THEFT;;;;4909 N 39TH ST
063000005;10/26/2006;11:31 PM;7.0;MOTOR VEHICLE THEFT;;;;4886 N 20TH ST
063000009;10/26/2006;11:06 PM;7.0;AGGRAVATED ASSAULT;;;;3515 W VILLARD AV
063000014;10/26/2006;11:47 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3800 W HAMPTON AV
062980037;10/25/2006;04:35 AM;7.0;DISORDERLY CONDUCT;SIMPLE ASSAULT;;;4513 N 20TH ST
062980046;10/25/2006;07:45 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;5048 N 35TH ST
062980049;10/25/2006;08:12 AM;7.0;ALL OTHER LARCENY;;;;4953 N 38TH ST
062980059;10/25/2006;11:01 AM;5.0;MOTOR VEHICLE THEFT;;;;4206 N GREEN BAY AV
062980117;10/25/2006;12:13 PM;4.0;MOTOR VEHICLE THEFT;;;;3701 W GREEN TREE RD
062980139;10/25/2006;02:25 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4353 N 24TH PL
062980147;10/25/2006;02:50 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5712 N TEUTONIA AV
062980148;10/25/2006;02:50 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5712 N TEUTONIA AV
062980159;10/25/2006;02:24 PM;7.0;ALL OTHER LARCENY;;;;5150 N 35TH ST
062980199;10/25/2006;04:45 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;7242 N TEUTONIA AV
062980215;10/25/2006;06:08 PM;7.0;MOTOR VEHICLE THEFT;;;;4754 N 29TH ST
062980227;10/25/2006;03:48 PM;4.0;ROBBERY;;;;5883 N TEUTONIA AVE
062970053;10/24/2006;10:12 AM;4.0;ALL OTHER LARCENY;;;;7171 N TEUTONIA AV
062970086;10/24/2006;11:59 AM;4.0;ALL OTHER LARCENY;;;;5362 N 34TH ST
062970100;10/24/2006;01:46 PM;4.0;ALL OTHER LARCENY;;;;3720 W VILLARD AV
062970103;10/24/2006;12:55 PM;4.0;MOTOR VEHICLE THEFT;;;;3526 W SILVER SPRING DR
062970107;10/24/2006;01:25 PM;7.0;SIMPLE ASSAULT;;;;4740 W HAMPTON AV #3
062970151;10/24/2006;01:20 PM;7.0;AGGRAVATED ASSAULT;;;;5161 N HOPKINS ST
062970179;10/24/2006;06:57 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4344 N 27TH ST
062970196;10/24/2006;05:43 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;5206 W STARK ST
062980001;10/24/2006;11:22 PM;7.0;MOTOR VEHICLE THEFT;;;;1602 W CAPITOL DR
062960027;10/23/2006;05:13 AM;7.0;MOTOR VEHICLE THEFT;;;;4019 N 18TH ST
062960028;10/23/2006;06:06 AM;7.0;MOTOR VEHICLE THEFT;;;;4292 N 27TH ST
062960031;10/23/2006;06:29 AM;7.0;MOTOR VEHICLE THEFT;;;;4376 N 28TH ST
062960036;10/23/2006;07:47 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5870 N 36TH ST
062960051;10/23/2006;07:04 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;3600 W SILVER SPRING DR
062960052;10/23/2006;08:58 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;4237 W MONROVIA WA
062960092;10/23/2006;10:57 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;5740 N 41ST ST
062960140;10/23/2006;04:25 PM;4.0;ALL OTHER LARCENY;;;;2350 W VILLARD AV
062960143;10/23/2006;02:19 PM;4.0;THEFT FROM BUILDING;;;;7001 N 43RD ST #2
062960148;10/23/2006;02:38 PM;7.0;ALL OTHER LARCENY;;;;3519 W VILLARD AV
